file,lines,category,status,note,generated
app/Components/Layout/NavMenu.razor.css,363,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Layout/ReconnectModal.razor,31,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Layout/ReconnectModal.razor.css,157,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Layout/ReconnectModal.razor.js,63,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Pages/AdminPanel.razor,395,Admin UI,Medium-high refactor priority,Direct DbContext persistence and broad catches reduce observability/testability; move to application services.,False
app/Components/Pages/Error.razor,36,General,Reviewed,No major issue found in static review.,False
app/Components/Pages/Home.razor,96,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Pages/Home.razor.css,177,Layout/UI,Good / cleanup,Small and understandable; replace raw role strings and prepare localization.,False
app/Components/Pages/NotFound.razor,5,General,Reviewed,No major issue found in static review.,False
app/Components/Pages/WorkOrders.Save.cs,402,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Pages/WorkOrders.SaveRequest.cs,330,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Pages/WorkOrders.SaveResult.cs,359,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Pages/WorkOrders.razor,261,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Pages/WorkOrders.razor.cs,475,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Pages/WorkOrders.razor.css,924,Work Orders UI,Medium refactor priority,"Functionally strong; split mapping/save presentation, add component cancellation, remove inline JS handlers, inject TimeProvider.",False
app/Components/Routes.razor,23,General,Reviewed,No major issue found in static review.,False
app/Components/_Imports.razor,12,General,Reviewed,No major issue found in static review.,False
app/Data/AppRoles.cs,17,General,Reviewed,No major issue found in static review.,False
app/Data/ApplicationDbContext.cs,194,Database model,Good with one decision gap,Strong indexes/check constraints/concurrency token; Status requiredness conflicts with save validation.,False
app/Data/ApplicationSeeder.cs,268,Startup operations,High operational risk,"Idempotent intent is good, but startup execution, multi-instance races and hard failures on data invariants need redesign.",False
app/Data/ApplicationUser.cs,21,General,Reviewed,No major issue found in static review.,False
app/Data/Entities/Branch.cs,11,General,Reviewed,No major issue found in static review.,False
app/Data/Entities/Department.cs,17,General,Reviewed,No major issue found in static review.,False
app/Data/Entities/DepartmentType.cs,11,General,Reviewed,No major issue found in static review.,False
app/Data/Entities/WorkOrder.cs,40,General,Reviewed,No major issue found in static review.,False
app/Data/StandardDepartmentTypes.cs,17,General,Reviewed,No major issue found in static review.,False
app/Data/UserManagementService.cs,246,Identity/business service,High concurrency gap,"Business validation is clear, but fixed-account uniqueness is application-only and role-assignment rollback result is ignored.",False
app/Data/WorkOrderBuskets.cs,60,Business constants,Rename debt,"Functional, but Busket typo is pervasive and should be renamed only through a dedicated migration/refactor.",False
app/Data/WorkOrderFieldRegistry.cs,104,Business rules,Good / minor gap,Good pure-rule separation and testability; resolve Status requiredness and naming consistency.,False
app/Data/WorkOrderFinancialRules.cs,86,Business rules,Good / minor gap,Good pure-rule separation and testability; resolve Status requiredness and naming consistency.,False
app/Data/WorkOrderQueryService.cs,225,Core query,Good,"Scoped, projected, AsNoTracking query; inject TimeProvider and keep performance stages optional.",False
app/Data/WorkOrderSavePlanBuilder.cs,374,Business rules,Good / minor gap,Good pure-rule separation and testability; resolve Status requiredness and naming consistency.,False
app/Data/WorkOrderService.cs,971,Core persistence,High refactor priority,"Correct and well tested, but SaveChangesAsync is a very large orchestration method; display-order concurrency race and O(n*m) duplicate evaluation.",False
app/ERPPrototype.csproj,33,Configuration,Good / production hardening,Versions aligned and no obvious secret committed; tighten production host/config/deployment conventions.,False
app/Migrations/00000000000000_CreateIdentitySchema.Designer.cs,361,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/00000000000000_CreateIdentitySchema.cs,251,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260714191342_AddWorkOrderStructure.Designer.cs,485,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260714191342_AddWorkOrderStructure.cs,107,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260714194315_AddWorkYearToWorkOrders.Designer.cs,488,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260714194315_AddWorkYearToWorkOrders.cs,47,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260714200213_AddUserScope.Designer.cs,515,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260714200213_AddUserScope.cs,80,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260715141838_AddUserManagementFields.Designer.cs,526,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260715141838_AddUserManagementFields.cs,63,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260715150546_AddStandardDepartmentTypes.Designer.cs,560,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260715150546_AddStandardDepartmentTypes.cs,185,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260715183556_AddBusketToWorkOrders.Designer.cs,565,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260715183556_AddBusketToWorkOrders.cs,30,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260723163342_AddWorkOrderSoftDelete.Designer.cs,580,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260723163342_AddWorkOrderSoftDelete.cs,51,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260723180000_AddWorkOrderDisplayOrder.Designer.cs,570,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260723180000_AddWorkOrderDisplayOrder.cs,60,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260724071700_RemoveWorkOrderSoftDelete.Designer.cs,570,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260724071700_RemoveWorkOrderSoftDelete.cs,53,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260724074046_EnforceWorkOrderIdentityRules.Designer.cs,578,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260724074046_EnforceWorkOrderIdentityRules.cs,100,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260725090000_ScopeWorkOrderDisplayOrderByYear.Designer.cs,578,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260725090000_ScopeWorkOrderDisplayOrderByYear.cs,45,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260725103000_AlignWorkOrderYearWithAssignmentDate.Designer.cs,578,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260725103000_AlignWorkOrderYearWithAssignmentDate.cs,33,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260725190000_AddWorkOrderRowVersion.Designer.cs,584,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260725190000_AddWorkOrderRowVersion.cs,29,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/20260801220000_AddWorkOrderFinancialAmounts.Designer.cs,598,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Migrations/20260801220000_AddWorkOrderFinancialAmounts.cs,69,Database migration,Good / monitor,Migration operation reviewed; current model and runtime pending-model check are consistent.,False
app/Migrations/ApplicationDbContextModelSnapshot.cs,596,EF generated schema metadata,Structural review,"Generated EF boilerplate; checked for current-model/index/constraint consistency, not treated as handwritten maintainability code.",True
app/Program.cs,176,Application startup,High operational priority,Service registration is clear; automatic seeding on every startup should be moved/locked for multi-instance deployment.,False
app/Properties/launchSettings.json,23,Configuration,Good / production hardening,Versions aligned and no obvious secret committed; tighten production host/config/deployment conventions.,False
app/Tools/Backfill-DevelopmentWorkOrderFinancialValues.sql,70,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-ERPPerformanceSoak.ps1,42,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-ERPTests.ps1,124,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-Phase8Closure.ps1,24,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-Phase8Verification.ps1,107,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-Phase92CCssConsolidation.ps1,89,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Invoke-Phase9Foundation.ps1,21,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/New-CleanProjectArchive.ps1,125,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/Tools/Remove-LocalBuildArtifacts.ps1,62,Tooling,Good / one harness issue,Useful repeatable scripts; performance-soak script must not force Observe for quantitative benchmarking.,False
app/appsettings.Development.json,11,Configuration,Good / production hardening,Versions aligned and no obvious secret committed; tighten production host/config/deployment conventions.,False
app/appsettings.json,9,Configuration,Good / production hardening,Versions aligned and no obvious secret committed; tighten production host/config/deployment conventions.,False
app/libman.json,21,Configuration,Good / production hardening,Versions aligned and no obvious secret committed; tighten production host/config/deployment conventions.,False
app/wwwroot/app.css,1065,Styling,Improved / residual debt,"Consolidation reduced duplication, but 125 !important across two main stylesheets and remaining duplicate selectors need a specificity policy.",False
app/wwwroot/js/tabulatorAggregates.js,853,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorBasketDashboard.js,439,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorClipboardHistory.js,1374,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorDiagnostics.js,104,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorDirtyState.js,374,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorFieldChanges.js,493,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorFilters.js,2165,Tabulator client,High refactor priority,"Module boundary exists, but several 300–800 line functions remain; split incrementally after a reliable baseline.",False
app/wwwroot/js/tabulatorFinancialFields.js,238,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorInteractions.js,852,Tabulator client,High refactor priority,"Module boundary exists, but several 300–800 line functions remain; split incrementally after a reliable baseline.",False
app/wwwroot/js/tabulatorLifecycle.js,494,Tabulator client,Good,Centralized state and comprehensive cleanup are strong and reduce leak risk.,False
app/wwwroot/js/tabulatorPerformance.js,3641,Tabulator client,High performance-harness debt,Large diagnostic subsystem loaded in normal app; measurement wrappers add overhead and should be conditionally loaded.,False
app/wwwroot/js/tabulatorRangeAutoScroll.js,291,Tabulator client,Good / monitor,Focused module; keep lifecycle cleanup and add fast unit tests for pure functions.,False
app/wwwroot/js/tabulatorStructure.js,2336,Tabulator client,High refactor priority,"Module boundary exists, but several 300–800 line functions remain; split incrementally after a reliable baseline.",False
app/wwwroot/js/tabulatorTest.js,2474,Tabulator client,High refactor priority,"Module boundary exists, but several 300–800 line functions remain; split incrementally after a reliable baseline.",False
app/wwwroot/js/tabulatorValidation.js,2488,Tabulator client,High refactor priority,"Module boundary exists, but several 300–800 line functions remain; split incrementally after a reliable baseline.",False
e2e/BrowserCheckRecorder.cs,12,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/BrowserDiagnostics.cs,104,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/E2EArtifactManager.cs,47,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/E2EBrowserSession.cs,311,Browser tests,High test-maintenance priority,"Excellent breadth, but mega-journey/page object; current performance run is contaminated by SlowMo/tracing and late execution.",False
e2e/E2ETestAssert.cs,33,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/E2ETestDatabase.cs,342,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/E2ETestOptions.cs,122,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/E2ETestSuite.cs,8,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/ERPPrototype.E2ETests.csproj,15,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/LoginPage.cs,67,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/Phase9FoundationBrowserTest.cs,1599,Browser tests,High test-maintenance priority,"Excellent breadth, but mega-journey/page object; current performance run is contaminated by SlowMo/tracing and late execution.",False
e2e/Phase9FoundationRunner.cs,105,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/Program.cs,7,Application startup,High operational priority,Service registration is clear; automatic seeding on every startup should be moved/locked for multi-instance deployment.,False
e2e/WebApplicationProcess.cs,243,Browser tests,Good / split later,Useful isolated infrastructure; migrate gradually to standard test discovery/reporting.,False
e2e/WorkOrdersPage.cs,2854,Browser tests,High test-maintenance priority,"Excellent breadth, but mega-journey/page object; current performance run is contaminated by SlowMo/tracing and late execution.",False
integration/ERPPrototype.IntegrationTests.csproj,16,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/IntegrationTestDatabase.cs,465,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/IntegrationTestRunner.cs,139,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/PendingModelChangesDiagnostics.cs,204,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/Program.cs,7,Application startup,High operational priority,Service registration is clear; automatic seeding on every startup should be moved/locked for multi-instance deployment.,False
integration/TestAssert.cs,47,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/TestDbContextFactory.cs,16,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/WorkOrderSaveIntegrationTests.cs,697,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
integration/WorkOrderSavePlanBuilderTests.cs,422,Integration tests,Strong / improve framework,Strong SQL Server safety net; custom executable runner limits IDE/CI discovery and coverage reporting.,False
